11,11,11,11,11,11,11,11,11,11,11,11,252.3,0.0019619,72.9,0.0008838,118.8,0.0015239,3.13e-05,6.78716e-16,0.0004383,3.35935e-15,0.0013632,14.9288,129.8,0.0008838,140.8,0.0002858,74.5,0.0007199,63.8,0.0006155
12,12,12,12,12,12,12,12,12,12,12,12,259,0.0020673,75.4,0.0009671,67.7,0.0007844,3.03e-05,6.4876e-16,0.0004691,3.08704e-15,0.0015822,21.4955,79.5,0.0009671,91.3,0.000276,78.5,0.0007702,65.2,0.0006236
12,12,12,12,12,12,12,12,12,12,12,12,257.5,0.0019342,93.8,0.0012088,78.7,0.0011139,3.24e-05,6.8744e-16,0.0005101,3.81773e-15,0.0013994,22.6562,90.8,0.0012088,102.9,0.000255,77.9,0.0006708,66.1,0.0005916
13,13,13,13,13,13,13,13,13,13,13,13,380.1,0.0028374,83.4,0.0010177,79,0.0009398,3.28e-05,9.04455e-16,0.0005149,4.42376e-15,0.0014596,29.164,91.9,0.0010177,104.8,0.0002614,80,0.0006913,69.7,0.0006109
13,13,13,13,13,13,13,13,13,13,13,13,307.6,0.002257,105.9,0.0012764,65.7,0.0007828,3.23e-05,9.47461e-16,0.0005112,4.37086e-15,0.0014069,24.955,78.5,0.0012764,91.3,0.0002694,77.6,0.0006459,65.8,0.0005856
14,14,14,14,14,14,14,14,14,14,14,14,317.1,0.0025483,148.3,0.0020299,101.2,0.0013181,3.7e-05,1.04819e-15,0.000599,4.49886e-15,0.0017142,18.5128,114.8,0.0020299,128.4,0.0002856,78.5,0.0007218,66.6,0.0006956
14,14,14,14,14,14,14,14,14,14,14,14,352.3,0.0029442,87.3,0.0011292,66.6,0.0008639,3.69e-05,9.4804e-16,0.0005855,4.26262e-15,0.0017166,18.8823,80,0.0011292,93.4,0.0003006,80.2,0.0007962,67.3,0.0007328
15,15,15,15,15,15,15,15,15,15,15,15,354.4,0.0032794,110.7,0.0016349,62.1,0.0009284,5.14e-05,7.88385e-16,0.0007805,5.30659e-15,0.0022411,28.0116,76.1,0.0016349,90.1,0.0003873,80.7,0.0009524,68.6,0.0008391
15,15,15,15,15,15,15,15,15,15,15,15,389.9,0.0032994,100,0.001446,65.2,0.0009642,4.42e-05,9.2861e-16,0.0007041,6.61562e-15,0.0021461,28.5374,79.6,0.001446,94,0.0003681,79.3,0.0008459,67.9,0.0007824
16,16,16,16,16,16,16,16,16,16,16,16,367.3,0.0033269,117.6,0.0018088,66.9,0.0010521,5.27e-05,8.57049e-16,0.0008373,3.62268e-15,0.0025351,29.4784,81.8,0.0018088,96.7,0.0003961,82.3,0.0010264,68.3,0.0009398
17,17,17,17,17,17,17,17,17,17,17,17,411.7,0.0042913,1022.8,0.0163723,679.4,0.0104371,5.78e-05,1.0397e-15,0.0009356,6.06034e-15,0.002785,30.9455,694.4,0.0163723,709.4,0.0004499,82.2,0.0010167,68.6,0.0010053
18,18,18,18,18,18,18,18,18,18,18,18,419.2,0.0045393,121.2,0.0022005,82.4,0.0015255,7.13e-05,1.40193e-15,0.0012002,6.51642e-15,0.0037499,38.8455,97.4,0.0022005,112.4,0.0005966,81.9,0.0012766,69.1,0.0011122
19,19,19,19,19,19,19,19,19,19,19,19,424.4,0.0049269,186.8,0.0035901,67.2,0.0012916,7.7e-05,1.05578e-15,0.0013996,8.05309e-15,0.0045195,42.0854,82.7,0.0035901,98.2,0.0006344,81.3,0.0013469,68.6,0.0011611
20,20,20,20,20,20,20,20,20,20,20,20,458.1,0.0064918,108.4,0.0026619,65.6,0.0015859,9.75e-05,1.39913e-15,0.0016106,9.12121e-15,0.0048349,45.9654,81.1,0.0026619,96.6,0.0006855,82,0.0015896,72.5,0.0014775
21,21,21,21,21,21,21,21,21,21,21,21,560.5,0.0084805,142.7,0.0034933,91.2,0.0023421,0.0001105,1.9689e-15,0.0015894,1.14939e-14,0.0052874,44.5074,107.9,0.0034933,124.6,0.0007413,85.9,0.0017057,73.7,0.0017169
22,22,22,22,22,22,22,22,22,22,22,22,589.5,0.0087747,155,0.0037786,884.9,0.0235948,0.000128,1.68587e-15,0.0020726,1.67532e-14,0.0066343,54.8753,901.5,0.0037786,918.1,0.0008996,86.1,0.001935,72,0.0017157
23,23,23,23,23,23,23,23,23,23,23,23,545.7,0.0087618,965.4,0.0247661,693.6,0.0179327,0.0001378,1.66716e-15,0.0020592,1.37791e-14,0.007314,49.8455,710.5,0.0247661,727.4,0.0009203,85.4,0.0019473,73.2,0.0017798
25,25,25,25,25,25,25,25,25,25,25,25,617.3,0.0111025,165.8,0.0047259,75.6,0.0021726,0.0001614,1.79437e-15,0.0023847,1.8191e-14,0.0084472,54.711,93.2,0.0047259,110.8,0.0010819,87.7,0.0024068,73.8,0.0020894
26,26,26,26,26,26,26,26,26,26,26,26,566.2,0.0108251,56612.1,1.8281,87.1,0.0028346,0.0001922,1.65799e-15,0.0031014,1.36556e-14,0.0100184,57.3236,104.2,1.8281,121.3,0.0012292,85.9,0.0025976,73.6,0.0023222
28,28,28,28,28,28,28,28,28,28,28,28,720.5,0.0159459,3530.7,0.128283,118.9,0.0045362,0.0002432,2.36565e-15,0.0035457,1.33992e-14,0.0124421,72.5924,137.1,0.128283,155.3,0.0014753,87.6,0.003016,75.1,0.0027133
30,30,30,30,30,30,30,30,30,30,30,30,673.5,0.0157621,775.6,0.0296792,337,0.0133914,0.0002704,2.26763e-15,0.0040056,2.14532e-14,0.0149048,67.504,355.3,0.0296792,373.6,0.0016239,89,0.0032913,74.4,0.0028474
32,32,32,32,32,32,32,32,32,32,32,32,784.1,0.022565,16771.8,0.823343,1250.2,0.0603826,0.0003121,3.11969e-15,0.0047361,1.43385e-14,0.0184679,89.6409,1269.3,0.823343,1288.4,0.002177,88,0.0040372,76.6,0.0036435
34,34,34,34,34,34,34,34,34,34,34,34,960.1,0.0307641,180.7,0.0095453,1006.6,0.0561037,0.000356,3.42064e-15,0.0054407,2.89782e-14,0.0204756,71.2155,1026.1,0.0095453,1045.6,0.0021991,89.6,0.0042661,78.4,0.0039968
36,36,36,36,36,36,36,36,36,36,36,36,1001,0.0367419,32798.2,2.03043,85.3,0.0060704,0.0005025,3.70021e-15,0.0075508,3.49264e-14,0.0268129,90.7578,105.2,2.03043,125.1,0.0027547,89.8,0.0052814,78.9,0.0050551
39,39,39,39,39,39,39,39,39,39,39,39,1116.6,0.0448705,2142.5,0.145882,92.5,0.0064663,0.0005558,3.92003e-15,0.0078524,3.73161e-14,0.0347392,96.5129,112.8,0.145882,133.1,0.0033338,92,0.0064237,79.4,0.0055566
42,42,42,42,42,42,42,42,42,42,42,42,1165.4,0.0493755,8181.5,0.585117,73.9,0.0051027,0.0006383,4.3108e-15,0.0095747,2.89009e-14,0.0397571,122.943,94.9,0.585117,115.9,0.0036727,90.7,0.0063257,82.1,0.0061141
45,45,45,45,45,45,45,45,45,45,45,45,1135.9,0.0573186,1554.3,0.131713,413.6,0.034807,0.0008153,3.45058e-15,0.0131894,2.54764e-14,0.0523988,120.672,434.1,0.131713,454.7,0.0043685,89.7,0.0084478,80.6,0.0071028
48,48,48,48,48,48,48,48,48,48,48,48,1287.2,0.0730821,300.7,0.0288465,550.1,0.0523459,0.0009519,3.77489e-15,0.0149154,4.19759e-14,0.0670582,147.881,571.1,0.0288465,592.2,0.0053536,91.5,0.0092283,82.5,0.0090135
52,52,52,52,52,52,52,52,52,52,52,52,1305.1,0.0833724,2780.4,0.300782,202.9,0.0211484,0.0011868,4.84638e-15,0.0185924,4.05372e-14,0.0836601,160.089,224.6,0.300782,246.2,0.0061141,89.2,0.0104738,83.8,0.0100552
