2,27,3.5e-05,41,1.8e-05,41,3.8e-05,60,4.2e-05,9,1e-05,97,0.000112,2e-06,0,8e-06,5.55112e-17
4,27,5.5e-05,37,5.3e-05,47,9e-05,50,8.8e-05,20,3.9e-05,61,0.000136,2e-06,1.11022e-16,2.5e-05,2.54384e-16
6,30,8.5e-05,43,9.5e-05,60,0.000186,50,0.000174,22,7.5e-05,116,0.000401,5e-06,1.987e-16,5.6e-05,6.29262e-16
8,39,0.000185,52,0.000202,52,0.000339,47,0.0003,24,9.1e-05,78,0.000408,1.1e-05,5.49532e-16,0.000125,6.8495e-16
10,38,0.000296,51,0.00038,54,0.000549,48,0.00054,23,0.000137,116,0.000853,1.3e-05,3.84655e-16,0.000216,6.72035e-16
12,36,0.000466,49,0.000644,54,0.000923,47,0.000917,21,0.000148,124,0.001137,3.8e-05,4.61945e-16,0.000311,1.20249e-15
14,44,0.000796,58,0.001118,51,0.001369,48,0.001544,25,0.000213,107,0.001182,2.7e-05,4.36434e-16,0.000461,7.47471e-16
16,36,0.001082,49,0.00161,51,0.001997,46,0.00193,23,0.000256,99,0.00143,3.7e-05,6.34797e-16,0.000708,1.62905e-15
18,39,0.001459,53,0.002479,57,0.002973,48,0.00286,24,0.000329,91,0.001653,5.4e-05,5.7815e-16,0.000947,1.66999e-15
20,40,0.002478,54,0.00359,58,0.004135,46,0.004023,24,0.000383,131,0.00275,6.5e-05,8.11228e-16,0.001241,1.24127e-15
22,41,0.002798,55,0.004893,56,0.005552,48,0.005429,24,0.000451,118,0.002965,8.4e-05,1.11947e-15,0.001663,1.13027e-15
24,42,0.003762,57,0.006737,59,0.007544,47,0.007358,24,0.000528,137,0.003956,0.000107,6.68767e-16,0.002236,1.95539e-15
26,41,0.005371,55,0.009941,55,0.010723,48,0.011046,24,0.00066,125,0.004498,0.000152,1.31351e-15,0.003211,2.27231e-15
28,43,0.007157,58,0.012862,58,0.013862,47,0.013476,24,0.000754,92,0.003828,0.000174,1.03799e-15,0.003811,1.76597e-15
30,44,0.008948,58,0.015909,55,0.01751,47,0.017477,24,0.000867,80,0.003856,0.000226,1.33653e-15,0.004818,2.10297e-15
32,44,0.011729,59,0.022472,58,0.022228,47,0.021972,24,0.000995,99,0.005399,0.000252,1.70598e-15,0.005808,2.63934e-15
34,43,0.014661,57,0.026198,56,0.027945,48,0.02772,23,0.001086,155,0.009662,0.00031,1.3825e-15,0.007095,2.34418e-15
36,44,0.017596,59,0.032015,58,0.033784,47,0.033159,23,0.001176,92,0.006176,0.000337,1.55553e-15,0.008189,2.61493e-15
38,42,0.021066,57,0.039262,60,0.045045,47,0.043019,24,0.001403,93,0.007112,0.000409,1.87931e-15,0.010198,3.31265e-15
40,45,0.025999,60,0.048679,58,0.051029,48,0.050761,23,0.001454,104,0.008644,0.000474,1.82597e-15,0.012322,3.62027e-15
42,45,0.031003,60,0.058501,60,0.061342,47,0.063649,23,0.001629,79,0.00718,0.000537,1.44337e-15,0.014456,2.84766e-15
44,44,0.03666,59,0.069589,59,0.072309,48,0.071712,23,0.001746,105,0.010457,0.000604,2.06976e-15,0.016881,3.64094e-15
46,44,0.043013,59,0.084454,59,0.085602,48,0.084311,23,0.001878,91,0.009763,0.000682,2.58567e-15,0.019702,3.71328e-15
48,45,0.050718,60,0.097616,60,0.104951,48,0.099241,23,0.002033,93,0.01079,0.000784,1.46662e-15,0.022826,3.71781e-15
50,46,0.058763,61,0.115397,60,0.119753,48,0.115589,23,0.002182,84,0.010577,0.000869,2.4257e-15,0.028835,3.51562e-15
52,46,0.068176,61,0.130906,60,0.137497,48,0.134433,22,0.002271,153,0.020436,0.000987,2.04298e-15,0.030142,3.54896e-15
54,46,0.078731,61,0.157376,61,0.156109,48,0.154227,23,0.002472,96,0.013626,0.001063,2.36828e-15,0.032585,4.58647e-15
56,46,0.094344,61,0.178225,60,0.180807,48,0.177711,23,0.00272,90,0.013871,0.001223,2.11116e-15,0.038803,3.89056e-15
58,45,0.104998,60,0.198346,60,0.205685,48,0.206276,23,0.002886,96,0.017752,0.001337,2.37605e-15,0.043859,3.94598e-15
60,45,0.119157,60,0.230801,60,0.229774,48,0.230518,22,0.002923,149,0.025757,0.001479,3.16288e-15,0.049115,4.17924e-15
62,47,0.137321,62,0.258133,59,0.257041,48,0.257259,22,0.003058,90,0.016336,0.001577,2.6527e-15,0.052434,4.80327e-15
64,46,0.149184,61,0.290317,60,0.298545,48,0.292709,23,0.004724,91,0.017887,0.001784,2.56755e-15,0.061548,4.74232e-15
66,47,0.160749,62,0.316202,60,0.322069,48,0.320138,23,0.003559,85,0.017288,0.001892,2.94395e-15,0.065012,5.20007e-15
68,47,0.187811,62,0.353571,61,0.356947,48,0.398934,22,0.003709,181,0.040968,0.00211,2.20601e-15,0.080915,5.90183e-15
70,47,0.218609,62,0.422261,59,0.397094,48,0.395061,23,0.004017,88,0.020102,0.002247,3.46458e-15,0.079805,6.23341e-15
72,47,0.227489,63,0.434953,61,0.446172,48,0.447879,23,0.004213,96,0.02299,0.002437,3.05606e-15,0.088193,5.49829e-15
74,48,0.2589,64,0.504361,61,0.493107,48,0.502312,23,0.00457,90,0.023401,0.00266,3.03521e-15,0.096985,7.69026e-15
76,47,0.284383,62,0.616567,60,0.555334,48,0.54896,22,0.004605,128,0.034317,0.002866,3.26123e-15,0.106599,6.26918e-15
78,47,0.345513,62,0.649129,60,0.604552,48,0.607015,22,0.004798,105,0.03006,0.003166,3.2934e-15,0.124627,6.93319e-15
80,47,0.35063,62,0.737814,60,0.765549,48,0.673823,22,0.004987,142,0.041725,0.003346,4.00555e-15,0.129061,8.08771e-15
82,48,0.375444,64,0.744326,61,0.759205,48,0.742533,22,0.005237,131,0.040377,0.00356,3.73979e-15,0.141746,6.92427e-15
84,49,0.43127,65,0.809243,61,0.844604,48,0.821386,22,0.005399,159,0.051466,0.00385,3.43349e-15,0.151628,6.64849e-15
86,47,0.487185,63,0.91755,61,0.884436,48,0.883395,23,0.005869,96,0.032127,0.004099,4.32762e-15,0.165075,7.08398e-15
88,48,0.511119,63,1.13464,60,1.01443,48,0.982769,22,0.005959,113,0.039543,0.004391,3.40935e-15,0.18119,7.9236e-15
90,48,0.583897,64,1.05972,61,1.06198,48,1.06755,22,0.006398,82,0.032535,0.004685,4.07975e-15,0.19941,6.45634e-15
92,47,0.590607,63,1.14997,61,1.17309,49,1.20724,23,0.006715,98,0.037544,0.004997,4.4315e-15,0.211774,6.61596e-15
94,48,0.693776,64,1.29902,62,1.27945,48,1.27241,22,0.006866,112,0.045324,0.006083,4.60532e-15,0.241338,6.48672e-15
96,49,0.70622,65,1.36462,62,1.37876,48,1.37244,22,0.007031,139,0.057481,0.005677,3.86663e-15,0.246288,7.86433e-15
98,48,0.751613,64,1.49473,62,1.49927,49,1.5056,21,0.007083,118,0.051469,0.006032,4.31147e-15,0.276594,6.78857e-15
100,48,0.831394,64,1.64014,61,1.61444,49,1.60616,22,0.007409,136,0.060144,0.006288,4.36964e-15,0.281361,7.7958e-15
