16,93.7,0.0013201,15.4,0.0003713,40.6,0.0009659,3.84e-05,1.16749e-15,0.0017847,2.13899e-15,0.0095356,2.25978e-15
17,97.6,0.0013192,16.5,0.000392,40.5,0.0009378,3.52e-05,1.32992e-15,0.0017874,2.08409e-15,0.0102466,2.30214e-15
18,98.4,0.0014516,17.6,0.0004524,40.7,0.0010433,3.96e-05,1.48423e-15,0.0020432,2.51569e-15,0.0123077,2.72769e-15
18,97.3,0.0014177,17.6,0.0004485,41.5,0.0010225,3.89e-05,1.24723e-15,0.0019842,2.30602e-15,0.0121733,2.43332e-15
19,99.5,0.0015701,18.7,0.0005117,40.2,0.0010946,4.39e-05,1.43068e-15,0.0024175,2.38829e-15,0.0151171,2.59128e-15
20,101.1,0.0018135,19.8,0.0005826,40.3,0.001146,4.56e-05,1.63857e-15,0.0026286,3.14555e-15,0.0168956,3.22302e-15
21,104.4,0.001812,20.9,0.0006289,40.5,0.0012005,5.12e-05,1.40105e-15,0.0028597,2.76383e-15,0.0203449,3.27169e-15
22,104.8,0.0019865,22,0.0007273,41,0.0013199,5.8e-05,1.72487e-15,0.0033174,2.65807e-15,0.024351,3.06538e-15
23,106.1,0.0021845,23.1,0.0007745,40.6,0.0013452,6.35e-05,1.58814e-15,0.0037439,3.02506e-15,0.02863,3.06306e-15
25,108.7,0.0025264,25.3,0.0009995,41.1,0.0016147,7.87e-05,1.71738e-15,0.0046598,3.09168e-15,0.0378557,3.30776e-15
26,108.5,0.00275,26.4,0.0011306,41.3,0.0018013,9.46e-05,2.23504e-15,0.0055567,2.99383e-15,0.0449504,3.37305e-15
28,112.3,0.0031541,28.6,0.0013612,41.3,0.001919,0.00011,2.0714e-15,0.0065193,3.63987e-15,0.0572809,3.62226e-15
29,111.1,0.0033277,29.6,0.0015569,41.4,0.0021146,0.0001242,1.96722e-15,0.0074013,3.38759e-15,0.0652513,3.65849e-15
31,113.3,0.0044316,31.5,0.0020498,41.9,0.0027213,0.0001482,2.18147e-15,0.008819,4.48862e-15,0.0835171,4.53452e-15
33,115.6,0.0051983,32.4,0.0023479,41.6,0.0030019,0.0001742,2.55375e-15,0.0109023,4.51633e-15,0.10787,4.92582e-15
35,115.8,0.0057724,33.5,0.0026809,41.9,0.0033016,0.0002001,2.48271e-15,0.0132027,4.61586e-15,0.133815,4.99394e-15
37,118.8,0.0061234,34.7,0.003012,42.4,0.0035949,0.0002074,2.51695e-15,0.0139921,5.14281e-15,0.158275,5.23231e-15
39,118.1,0.0067071,35.4,0.0033716,42.8,0.0041394,0.0002478,2.5245e-15,0.016841,4.8777e-15,0.194061,5.47328e-15
42,117.4,0.0077915,36.9,0.0040832,42.9,0.0046714,0.0003408,3.17121e-15,0.0213057,5.10221e-15,0.266116,5.63358e-15
45,119.2,0.0090186,37.4,0.0046355,42.3,0.0050223,0.0003544,3.20787e-15,0.0256656,5.47032e-15,0.3374,5.84201e-15
48,121.7,0.0101066,38.6,0.0051991,42.9,0.0057601,0.0004557,3.80879e-15,0.0322795,5.71152e-15,0.43342,5.95644e-15
109,126.8,0.0427496,46.3,0.0262206,45.2,0.0255538,0.0045446,7.71139e-15,0.355646,1.36725e-14,0,0
