2,24,0.002256,176,0.021211,0.000856,2.41488e-15,0.025754,4.64881e-15
4,49,0.004473,170,0.020472,0.000851,2.05381e-15,0.025694,4.05242e-15
6,72,0.00673,179,0.022278,0.000833,3.16576e-15,0.025646,4.98813e-15
8,92,0.008429,171,0.020918,0.000858,3.18029e-15,0.025364,4.36773e-15
10,106,0.009522,169,0.020484,0.000859,2.19416e-15,0.0253,5.62925e-15
12,125,0.011603,143,0.017359,0.000848,4.85654e-15,0.025184,5.10198e-15
14,138,0.012388,159,0.020064,0.000867,2.99131e-15,0.025566,5.72212e-15
16,161,0.014478,158,0.018932,0.000842,3.01977e-15,0.025281,6.53066e-15
18,180,0.016276,133,0.016039,0.000839,3.1806e-15,0.025141,6.01027e-15
20,198,0.018113,169,0.019745,0.000813,3.93482e-15,0.024358,7.65393e-15
22,207,0.018715,134,0.016503,0.000885,3.09989e-15,0.025299,7.71573e-15
24,206,0.018634,148,0.017838,0.000845,3.95783e-15,0.025236,1.10027e-14
26,238,0.02145,135,0.016491,0.000885,4.45041e-15,0.025192,9.11874e-15
28,257,0.023559,149,0.018259,0.000873,4.66414e-15,0.025009,8.86311e-15
30,258,0.023451,138,0.016686,0.000836,5.24903e-15,0.024984,8.86059e-15
32,268,0.023732,151,0.018261,0.00088,9.01961e-15,0.025806,8.03431e-15
34,286,0.026571,145,0.017089,0.000877,4.76951e-15,0.024575,9.35014e-15
36,302,0.027196,159,0.018578,0.000821,4.47833e-15,0.024383,1.05073e-14
38,288,0.025084,141,0.017369,0.000818,4.53416e-15,0.024664,1.96295e-14
40,316,0.027697,133,0.015824,0.000828,4.83717e-15,0.025629,1.66804e-14
42,250,0.022459,149,0.017841,0.000855,9.5078e-15,0.02511,1.60866e-14
44,341,0.031381,135,0.016806,0.000873,1.05848e-14,0.026005,1.081e-14
46,328,0.030066,155,0.019296,0.000892,1.20955e-14,0.025751,1.27497e-14
48,347,0.033627,147,0.018689,0.000871,9.57824e-15,0.025514,7.35891e-15
50,354,0.03188,139,0.01677,0.000832,8.04109e-15,0.02503,1.38712e-14
52,348,0.031581,141,0.017239,0.000913,6.71864e-15,0.025124,1.05338e-14
54,374,0.033748,145,0.017722,0.00088,4.5589e-15,0.02544,7.93096e-15
56,371,0.033908,139,0.017137,0.000832,1.99064e-14,0.025462,1.63358e-14
58,373,0.033858,124,0.015062,0.000847,7.04821e-15,0.025182,8.17956e-15
60,390,0.035113,130,0.015675,0.000829,5.53178e-15,0.025155,1.15587e-14
62,401,0.036624,141,0.017073,0.000879,8.39954e-15,0.025002,1.08422e-14
64,387,0.035705,153,0.018687,0.000878,2.14848e-14,0.025695,9.66665e-15
66,402,0.036586,139,0.016734,0.000847,1.23813e-14,0.025174,2.08519e-14
68,408,0.037373,141,0.017362,0.00087,5.74117e-15,0.025524,1.00293e-14
70,424,0.038165,131,0.01598,0.000854,6.42017e-15,0.025204,1.33287e-14
72,431,0.03881,145,0.017742,0.000878,6.1956e-15,0.025841,1.25978e-14
74,415,0.038188,140,0.017276,0.000872,7.63398e-15,0.025682,1.4088e-14
76,417,0.037376,131,0.015808,0.000849,1.32097e-14,0.025335,1.22632e-14
