2,2,1.3e-05,95,0.000119,2e-06,5.55112e-17,8e-06,1.24127e-16,1.3e-05,1.24127e-16
4,39,6.6e-05,183,0.000397,2e-06,1.24127e-16,2.4e-05,4.90261e-16,5.4e-05,2.93737e-16
6,52,0.000133,190,0.000638,5e-06,5.03632e-16,5.6e-05,3.95456e-16,0.000161,5.91559e-16
8,84,0.000313,163,0.000788,8e-06,5.3551e-16,0.000106,8.77708e-16,0.000405,7.32374e-16
10,76,0.000403,162,0.001124,1.2e-05,7.47986e-16,0.00019,1.3878e-15,0.000885,1.09267e-15
12,144,0.000979,95,0.000848,1.9e-05,1.52857e-15,0.000314,2.66222e-15,0.001776,2.59362e-15
14,170,0.001485,117,0.001354,2.6e-05,1.45187e-15,0.000472,1.92876e-15,0.003256,1.79066e-15
16,152,0.001718,131,0.001984,4e-05,8.64026e-16,0.000687,9.91007e-16,0.005627,1.60824e-15
18,148,0.002075,120,0.002214,5.4e-05,1.43979e-15,0.000963,1.75353e-15,0.009225,2.01003e-15
20,160,0.002622,144,0.003312,7.1e-05,1.7627e-15,0.00133,1.94765e-15,0.014993,2.36449e-15
22,222,0.004287,734,0.01945,9.3e-05,1.99427e-15,0.001745,3.34487e-15,0.022146,3.90975e-15
24,204,0.004612,497,0.014976,0.000115,1.87706e-15,0.002284,2.80901e-15,0.03257,3.62474e-15
26,260,0.009169,100,0.003541,0.000138,2.65553e-15,0.002883,4.58882e-15,0.045356,5.36321e-15
28,172,0.005156,146,0.006012,0.000166,2.10366e-15,0.003724,6.38502e-15,0.063351,4.87083e-15
30,264,0.008691,210,0.00973,0.000214,2.75107e-15,0.00454,5.00551e-15,0.087029,5.00225e-15
32,290,0.011492,364,0.018953,0.000264,2.79336e-15,0.005806,5.6024e-15,0.118845,5.35101e-15
34,408,0.018315,503,0.030385,0.000304,2.4831e-15,0.006854,3.88363e-15,0.163107,4.69368e-15
36,444,0.023491,160,0.010879,0.000355,3.86858e-15,0.008387,4.50508e-15,0.212883,4.56434e-15
38,469,0.025805,105,0.007906,0.000405,6.67108e-15,0.010172,1.37779e-14,0.276891,1.41463e-14
40,386,0.025224,276,0.022605,0.000434,3.67615e-15,0.011854,7.18643e-15,0.347556,6.95421e-15
42,312,0.021047,147,0.013443,0.000528,3.13547e-15,0.014072,5.63314e-15,0.436531,6.79952e-15
44,526,0.039838,101,0.010041,0.000613,6.6963e-15,0.016507,1.05138e-14,0.534831,1.12974e-14
46,440,0.035297,181,0.019041,0.000646,4.83775e-15,0.019105,8.23799e-15,0.657477,1.00733e-14
48,520,0.043995,119,0.013621,0.000784,6.82102e-15,0.022628,8.34513e-15,0.804504,7.54527e-15
50,488,0.044045,133,0.016046,0.000838,4.11423e-15,0.025,7.66865e-15,0.979484,8.79963e-15
52,604,0.060439,100,0.013823,0.000949,1.14048e-14,0.028675,1.30849e-14,1.18078,1.3408e-14
54,605,0.064225,1022,0.145014,0.001078,4.12543e-15,0.033805,1.06879e-14,1.4107,1.23837e-14
56,588,0.064739,151,0.023259,0.001183,6.87405e-15,0.037614,1.03364e-14,1.67771,1.21847e-14
58,683,0.081712,102,0.016438,0.001301,1.26532e-14,0.042718,1.41344e-14,1.97418,1.38848e-14
60,542,0.068695,179,0.030355,0.001401,7.87057e-15,0.047533,1.26066e-14,2.30909,1.34099e-14
62,658,0.091352,1310,0.237344,0.00159,5.84572e-15,0.052862,1.1533e-14,2.69719,1.33197e-14
64,648,0.092204,159,0.030282,0.001696,6.25216e-15,0.059037,9.36829e-15,3.14814,9.77242e-15
66,632,0.09648,219,0.044675,0.001908,6.63353e-15,0.065291,1.36411e-14,3.67599,1.47703e-14
68,803,0.129101,229,0.048848,0.002037,7.17687e-15,0.073173,1.34317e-14,4.22401,1.46801e-14
70,692,0.117613,75,0.01711,0.002268,9.90748e-15,0.082437,1.26501e-14,4.8591,1.46111e-14
72,818,0.144057,152,0.03597,0.002446,7.09991e-15,0.089395,1.5096e-14,5.81352,1.7666e-14
74,554,0.106025,123,0.031144,0.002611,9.46078e-15,0.098126,1.55504e-14,6.31412,1.63653e-14
76,820,0.162833,145,0.038241,0.002859,1.92133e-14,0.109545,2.18399e-14,7.20582,2.13593e-14
78,498,0.103693,143,0.040298,0.003044,9.32316e-15,0.118468,1.17539e-14,8.20787,1.53513e-14
80,943,0.203417,108,0.031205,0.003266,1.14942e-14,0.128689,2.83927e-14,9.20834,3.4336e-14
82,815,0.181536,613,0.182019,0.003495,1.05604e-14,0.151345,2.03847e-14,11.2386,2.33196e-14
84,912,0.21735,168,0.053585,0.003813,1.46318e-14,0.168203,1.99153e-14,12.8714,2.06619e-14
86,880,0.216712,119,0.03923,0.004098,1.2871e-14,0.165907,2.2017e-14,14.2868,2.19679e-14
88,794,0.207453,160,0.056058,0.004449,1.16868e-14,0.198066,1.72497e-14,16.1283,1.92309e-14
90,580,0.159151,355,0.128065,0.00457,1.76198e-14,0.201878,2.17725e-14,61.0346,2.3211e-14
92,1058,0.923246,135,0.053185,0.005159,2.11132e-14,1.42432,3.34261e-14,100.571,3.12593e-14
94,1153,0.399574,1111,1.10359,0.005263,1.18447e-14,1.60778,1.65306e-14,105.951,2.14684e-14
96,860,0.264104,171,0.070751,0.005797,1.38904e-14,0.254965,2.61207e-14,22.4754,2.72216e-14
98,778,0.243595,138,0.057972,0.005847,1.4875e-14,0.263961,3.01302e-14,24.9126,2.74487e-14
100,846,0.278351,159,0.069278,0.00633,1.4463e-14,0.281468,1.96755e-14,28.7735,2.0786e-14
